Player,Position,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
Nic Claxton,Center,42,28.9,12.4,5.5,7.5,73.4,0,0,0,1.3,2.8,47.1,8.5,1.5,0.7,2.7,1.3,14,0
Eric Gordon,Shooting Guard,40,29.8,12.3,4.2,9.7,43,1.8,5.2,34.8,2.1,2.6,80.8,2,2.6,0.5,0.4,1.6,0,0
Jakob Poeltl,Center,37,26.3,12.2,5.2,8.3,63,0,0,0,1.7,3,58.2,9.3,2.9,0.8,1.2,2,9,0
Kelly Olynyk,Power Forward,39,28.5,12.2,4,8,50.3,1.5,3.5,41.3,2.6,3.2,83.1,5,3.3,1.1,0.6,2.3,1,0
Keegan Murray,Small Forward,43,29.3,12.1,4.3,9.7,44.6,2.4,5.9,41.3,1,1.3,80.4,4.2,0.9,0.8,0.6,1,2,0
Jabari Smith Jr.,Power Forward,44,29.7,12,4.3,10.9,39.1,1.8,5.6,31.2,1.8,2.2,80.2,6.9,1,0.5,0.9,1.3,7,0
Bol Bol,Center,41,25.3,11.9,4.9,8.4,58.4,0.6,1.8,36.1,1.4,1.9,74,6.8,0.9,0.5,1.6,1.9,6,0
Mason Plumlee,Center,47,28.3,11.8,4.6,6.9,66.5,0,0,0,2.6,4.3,60.8,9.8,3.6,0.7,0.7,1.5,18,0
Jalen Williams,Forward,42,28.3,11.7,4.7,9.3,50.8,0.8,2.7,29.2,1.4,1.9,75,3.9,2.9,1,0.5,1.6,1,0
Isaiah Stewart,Center,38,28.6,11.6,4,8.9,44.7,1.4,4.2,32.7,2.2,3,73.9,8.1,1.2,0.4,0.7,1.4,11,0
Kentavious Caldwell-Pope,Shooting Guard,45,31.4,11.5,4.1,8.6,47.5,2.1,4.4,47.2,1.3,1.6,82.9,2.9,2.2,1.3,0.3,1.1,0,0
Jaden McDaniels,Power Forward,45,30.6,11.5,4.5,8.6,52.6,1.2,3.1,39.9,1.2,1.7,74.7,3.8,1.9,1.1,1.1,1.5,0,0
Josh Richardson,Shooting Guard,36,23.2,11.4,4.2,9.3,44.6,1.8,4.9,36.6,1.3,1.4,86.5,2.6,3.2,0.9,0.2,1.5,1,0
John Wall,Point Guard,34,22.2,11.4,4.1,10,40.7,1,3.2,30.3,2.3,3.3,68.1,2.7,5.2,0.8,0.4,2.4,1,0
Jaylen Nowell,Shooting Guard,48,19.9,11.3,4.5,10.1,44.3,1.1,3.8,28.4,1.3,1.6,77.9,2.6,2.1,0.7,0.1,0.9,0,0
Bruce Brown,Small Forward,45,28.7,11.2,4.4,8.8,50.3,1.3,3.3,40.1,1,1.4,74.2,4.1,3.7,1,0.7,1.6,3,1
Marcus Smart,Point Guard,41,32.5,11.1,4,9.5,42.2,1.8,5.3,33.3,1.4,1.8,76.7,3.4,7.2,1.3,0.4,2.4,6,0
Kenyon Martin Jr.,Forward,46,24.9,11.1,4.4,8,54.8,1,2.9,33.1,1.4,2.3,62.5,5.1,1.4,0.4,0.3,1.1,2,0
Jalen McDaniels,Power Forward,47,26.9,11.1,4.1,8.9,46.2,1.3,3.6,34.5,1.7,2,85.9,4.7,2,1.1,0.6,1.4,1,0
Reggie Jackson,Point Guard,43,26.7,11.1,4.1,10.1,41.1,1.4,4.2,34.1,1.3,1.5,92.1,2.3,3.6,0.7,0.1,2,1,0
